date,user_id,logged_food,logged_steps,logged_water,logged_sleep,any_entry_logged,summary_viewed,returned_after_summary,ai_message_sent,guardrail_flag,cost_to_serve_usd
2026-01-01,1503,False,False,False,False,False,False,False,False,False,0.001
2026-01-02,1503,False,True,False,True,True,False,False,False,False,0.001
2026-01-03,1179,True,True,True,False,True,False,False,False,False,0.001
2026-01-03,1503,False,False,True,False,True,False,False,False,False,0.001
2026-01-03,1606,True,False,False,True,True,False,False,False,False,0.001
2026-01-04,23,False,False,False,True,True,False,False,False,False,0.001
2026-01-04,115,True,False,True,False,True,False,False,False,False,0.001
2026-01-04,384,True,True,True,False,True,False,False,False,False,0.001
2026-01-04,539,False,True,False,False,True,False,False,False,False,0.001
2026-01-04,1179,False,False,False,False,False,False,False,False,False,0.001
2026-01-04,1503,True,False,False,True,True,False,False,False,False,0.001
2026-01-04,1606,False,True,False,False,True,False,False,False,False,0.001
2026-01-05,23,True,True,True,True,True,False,False,False,False,0.001
2026-01-05,38,True,True,True,False,True,False,False,False,False,0.001
2026-01-05,115,True,True,False,False,True,False,False,False,False,0.001
2026-01-05,384,False,False,False,False,False,False,False,False,False,0.001
2026-01-05,534,False,True,True,False,True,False,False,False,False,0.001
2026-01-05,539,False,False,False,False,False,False,False,False,False,0.001
2026-01-05,1179,False,False,False,False,False,False,False,False,False,0.001
2026-01-05,1459,False,True,False,True,True,False,False,False,False,0.001
2026-01-05,1503,False,True,False,False,True,False,False,False,False,0.001
2026-01-05,1606,False,False,False,False,False,False,False,False,False,0.001
2026-01-06,23,False,False,False,False,False,False,False,False,False,0.001
2026-01-06,38,False,False,False,True,True,False,False,False,False,0.001
2026-01-06,115,False,False,False,False,False,False,False,False,False,0.001
2026-01-06,384,False,False,False,False,False,False,False,False,False,0.001
2026-01-06,534,False,True,False,True,True,False,False,False,False,0.001
2026-01-06,539,True,False,True,True,True,False,False,False,False,0.001
2026-01-06,1179,False,True,True,False,True,False,False,False,False,0.001
2026-01-06,1300,False,False,True,False,True,False,False,False,False,0.001
2026-01-06,1394,True,True,True,True,True,False,False,False,False,0.001
2026-01-06,1459,True,True,False,True,True,False,False,False,False,0.001
2026-01-06,1503,False,False,False,False,False,False,False,False,False,0.001
2026-01-06,1606,True,True,False,True,True,False,False,False,False,0.001
2026-01-07,23,True,False,True,True,True,False,False,False,False,0.001
2026-01-07,38,False,False,False,False,False,False,False,False,False,0.001
2026-01-07,115,False,False,False,False,False,False,False,False,False,0.001
2026-01-07,229,False,False,False,False,False,False,False,False,False,0.001
2026-01-07,384,False,True,True,False,True,False,False,False,False,0.001
2026-01-07,534,False,False,False,True,True,False,False,False,False,0.001
2026-01-07,539,False,False,False,False,False,False,False,False,False,0.001
2026-01-07,750,False,True,False,False,True,False,False,False,False,0.001
2026-01-07,1176,False,True,True,False,True,False,False,False,False,0.001
2026-01-07,1179,True,True,True,True,True,False,False,False,False,0.001
2026-01-07,1255,True,False,True,True,True,False,False,False,False,0.001
2026-01-07,1300,True,True,True,False,True,False,False,False,False,0.001
